,x,y,theta,v
554,2.35201,0.464949,-0.011265,-3.523142
555,2.040853,0.440697,0.174731,-2.727818
556,1.086417,4.692879,1.585786,1.368003
557,1.056063,4.924073,1.830834,0.969567
558,-8.127534,-0.911584,-0.318982,-6.760892
559,-9.567421,-0.603013,-0.109079,-7.99191
560,6.491091,-6.218569,-1.122653,5.388851
561,7.157958,-7.091138,-0.717246,5.668914
562,4.688165,-1.451964,0.077855,4.034669
563,5.1239,-1.450961,-0.069572,4.687934
564,-5.875146,-1.063688,-2.038906,2.884015
565,-5.985202,-1.464064,-1.58143,1.302937
566,-5.881306,-2.122673,-0.693425,0.488482
567,-5.831631,-2.152483,-0.403049,0.674228
568,1.259943,2.623194,1.431471,4.073859
569,1.333459,3.019437,1.342916,3.988887
570,4.266232,-1.42961,-0.179615,4.439186
571,4.939661,-1.707412,-0.634606,2.90789
572,7.857885,7.105415,0.855803,4.571873
573,8.32462,7.737202,1.022299,3.292041
574,-7.685432,1.015894,-0.321698,-2.994834
575,-8.240404,1.154956,-0.166975,-2.732167
576,-3.525192,-0.569217,-0.187197,-7.46753
577,-4.992351,0.07566,-0.629847,-8.690103
578,-6.08157,1.471458,-0.838017,-5.857493
579,-6.806864,2.210395,-0.747457,-4.500155
580,1.086417,4.692879,1.585786,1.368003
581,1.085309,4.790791,1.577321,0.59037
582,-9.567421,-0.603013,-0.109079,-7.99191
583,-11.218155,-0.310736,-0.239355,-8.784033
584,-9.068583,-2.841448,0.346282,-4.839089
585,-9.961037,-3.520313,0.925425,-6.531052
586,9.255328,-0.512687,-0.711771,4.789132
587,10.019502,-0.986925,-0.392624,4.242791
